"id","volume","pubid","name","floruit","sex","notbefore","notafter","status","placecode","region","settlement","district","lat","long"
"V3a-10610","3a","22","Κλεώνυμος","c.30-20BC","1","-30","-20","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10611","3a","31","Κλεώνυμος","c.220AD","1","220","220","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10612","3a","19","Κλεώνυμος","c.340-270BC","1","-340","-270","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10614","3a","21","Κλεώνυμος","ii BC","1","-200","-100","","LGPN_33454","Lakonia","Geronthrai","","36.9922","22.7069"
"V3a-10615","3a","26","Κλεώνυμος","c.105-110AD","1","105","110","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10616","3a","25","Κλεώνυμος","c.105-110AD","1","105","110","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10617","3a","30","Κλεώνυμος","c.170-190AD","1","170","190","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10618","3a","29","Κλεώνυμος","c.170-190AD","1","170","190","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10619","3a","20","Κλεώνυμος","hell.","1","-323","-31","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10620","3a","33","Κλεώνυμος","c.225-250AD","1","225","250","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10621","3a","32","Κλεώνυμος","c.225-250AD","1","225","250","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10622","3a","17","Κλεώνυμος","423BC","1","-423","-423","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10623","3a","18","Κλεώνυμος","c.393-371BC","1","-393","-371","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10624","3a","1","Κληἱνίκα","ii BC","2","-200","-100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10625","3a","1","Κληἵνικος","iii BC","1","-300","-200","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10626","3a","1","Κληνίκης","i BC","1","-100","0","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10627","3a","1","Κληνικίδας","i BC","1","-100","0","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10628","3a","2","Κληνικίδας","c.25-1BC","1","-25","-1","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10629","3a","2","Κλήνικος","c.30-20BC","1","-30","-20","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10630","3a","1","Κλήνικος","c.30-20BC","1","-30","-20","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10631","3a","1","Κλησᾶς","c.225-250AD","1","225","250","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10632","3a","1","Κλησιμβρότα","s.vii BC","2","-650","-601","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10633","3a","1","Κλῆτις","182BC","1","-182","-182","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10634","3a","1","Κλήτωρ","c.30-20BC","1","-30","-20","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10635","3a","3","Κλύμενος","c.100AD","1","100","100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10636","3a","1","Κνῆμος","s.v BC","1","-450","-401","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10637","3a","1","Κνίδις","s.v BC","1","-450","-401","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10638","3a","1","Κνύμων","v BC","1","-500","-400","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10639","3a","6","Κόϊντος","c.80-100AD","1","80","100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10640","3a","5","Κόϊντος","c.80-100AD","1","80","100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10641","3a","1","Κοῖρις","vi BC","1","-600","-500","","LGPN_33961","Lakonia","","","37.0281","22.6254"
"V3a-10642","3a","1","Κόλαξ","c.125AD","1","125","125","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10643","3a","3","Κόπρις","f.vi BC","1","-599","-550","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10644","3a","1","Κορείδας","c.25-1BC","1","-25","-1","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10645","3a","3","Κορινθᾶς","c.150-190AD","1","150","190","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10646","3a","2","Κόροιβος","368BC","1","-368","-368","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10647","3a","16","Λαχάρης","m.i BC","1","-75","-25","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10648","3a","1","Κορσαῖος","c.175-200AD","1","175","200","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
"V3a-10649","3a","6","Κόσμος","ii-i BC","1","-200","-100","","LGPN_33469","Lakonia","Sparta","","37.0819","22.4234"
